"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2018","311.04","311.04","311.04","311.04","","0.19%"
"10/23/2018","310.44","310.44","310.44","310.44","","-1.55%"
"10/22/2018","315.34","315.34","315.34","315.34","","0.52%"
"10/19/2018","313.71","313.71","313.71","313.71","","-0.18%"
"10/18/2018","314.27","314.27","314.27","314.27","","-0.22%"
"10/17/2018","314.95","314.95","314.95","314.95","","1.28%"
"10/16/2018","310.97","310.97","310.97","310.97","","-0.28%"
"10/15/2018","311.85","311.85","311.85","311.85","","-0.77%"
"10/12/2018","314.26","314.26","314.26","314.26","","0.64%"
"10/11/2018","312.27","312.27","312.27","312.27","","-2.47%"
"10/10/2018","320.18","320.18","320.18","320.18","","-1.14%"
"10/09/2018","323.86","323.86","323.86","323.86","","-0.54%"
"10/08/2018","325.61","325.61","325.61","325.61","","-0.86%"
"10/05/2018","328.45","328.45","328.45","328.45","","-0.64%"
"10/04/2018","330.57","330.57","330.57","330.57","","-0.91%"
"10/03/2018","333.62","333.62","333.62","333.62","","0.78%"
"10/02/2018","331.05","331.05","331.05","331.05","","-0.68%"
"10/01/2018","333.32","333.32","333.32","333.32","","-0.13%"
"09/28/2018","333.74","333.74","333.74","333.74","","0.74%"
"09/27/2018","331.29","331.29","331.29","331.29","","0.00%"
"09/26/2018","331.30","330.94","331.30","330.94","","0.11%"
"09/25/2018","330.94","330.94","330.94","330.94","","0.67%"
"09/24/2018","328.74","328.74","328.74","328.74","","0.02%"
"09/21/2018","328.69","328.69","328.69","328.69","","1.42%"
"09/20/2018","324.10","324.10","324.10","324.10","","0.25%"
"09/19/2018","323.30","323.30","323.30","323.30","","1.01%"
"09/18/2018","320.06","320.06","320.06","320.06","","-0.08%"
"09/17/2018","320.32","320.32","320.32","320.32","","-0.77%"
"09/14/2018","322.79","322.79","322.79","322.79","","1.02%"
"09/13/2018","319.54","319.54","319.54","319.54","","0.29%"
"09/12/2018","318.63","318.63","318.63","318.63","","0.46%"
"09/11/2018","317.16","317.16","317.16","317.16","","-0.28%"
"09/10/2018","318.06","318.06","318.06","318.06","","-0.43%"
"09/07/2018","319.43","319.43","319.43","319.43","","-0.56%"
"09/06/2018","321.24","321.24","321.24","321.24","","-0.23%"
"09/05/2018","321.97","321.97","321.97","321.97","","-1.61%"
"09/04/2018","327.25","327.25","327.25","327.25","","0.07%"
"09/03/2018","327.01","327.01","327.01","327.01","","-0.29%"
